CODE_COMMUNE;NOM_COMMUNE;NUMERO_INSTALLATION;NOM_INSTALLATION;ID_EQUIPEMENTS;NOM_EQUIPEMENTS;AUCUN_ACCES_HANDICAPE_M;AUCUN_ACCES_HANDICAPE_S;GPS_X;GPS_Y
44001;Abbaretz;440010002;Terrain de Sports;69849;Terrain de Football Engazonné;Oui;Oui;-1.53106000;47.55761000
44001;Abbaretz;440010002;Terrain de Sports;129515;Terrain Stabilisé;Oui;Oui;-1.53024000;47.55783000
44001;Abbaretz;440010004;Les 5 Tresors;197752;Sentier Pédestre Equestre Vtt des 5 Trésors;Oui;Oui;-1.52446000;47.55462700
44001;Abbaretz;440010003;Site de la Mine;247310;L'Etang de la Mine - Base Départementale Nautique et de Loisirs;Non;Oui;-1.54495000;47.55704000
44001;Abbaretz;440010002;Terrain de Sports;287645;Courts de Tennis;Oui;Oui;-1.53239000;47.55778000
44001;Abbaretz;440010003;Site de la Mine;312133;Parcours d'Orientation;Oui;Oui;-1.54257000;47.56003000
44001;Abbaretz;440010003;Site de la Mine;312136;Entre Etangs et Pierre Bleue;Oui;Oui;-1.54181000;47.55969000
44001;Abbaretz;440010003;Site de la Mine;343672;Terrain de Boules;Oui;Oui;-1.54231000;47.55802000
44001;Abbaretz;440010005;Ecole Maternelle Louis Davy;343679;Salle de Motricité;Non;Oui;-1.53201000;47.55151000
44001;Abbaretz;440010006;Salle Polyvalente;343682;Salle Polyvalente;Non;Oui;-1.53257000;47.55389700
44001;Abbaretz;440010007;Zone de Loisirs de la Salle Polyvalente;344268;Terrains de Pétanque;Non;Oui;-1.53357000;47.55362000
44001;Abbaretz;440010007;Zone de Loisirs de la Salle Polyvalente;344269;Etang de la Salle Polyvalente;Non;Oui;-1.53424000;47.55457000
44002;Aigrefeuille-sur-Maine;440020001;Complexe Sportif des Richardieres;68587;Salle de Tennis de Table;Non;Oui;-1.40754000;47.07611000
44002;Aigrefeuille-sur-Maine;440020001;Complexe Sportif des Richardieres;68588;Terrain d'Honneur;Non;Oui;-1.40506000;47.07600000
44002;Aigrefeuille-sur-Maine;440020001;Complexe Sportif des Richardieres;68589;Boulodrome;Oui;Oui;-1.40376000;47.07672000
44002;Aigrefeuille-sur-Maine;440020001;Complexe Sportif des Richardieres;68590;Courts de Tennis;Oui;Oui;-1.40851000;47.07583000
