CODE_COMMUNE;NOM_COMMUNE;ID_EQUIPEMENTS;ID_ACTIVITES;NOM_ACTIVITES;NIVEAU_ACTIVITE
44001;Abbaretz;69849;2901;Football / Football en salle (Futsal);Compétition départementale
44001;Abbaretz;129515;2901;Football / Football en salle (Futsal);Compétition départementale
44001;Abbaretz;197752;2204;Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial;
44001;Abbaretz;197752;6201;Randonnée pédestre;Loisir - Entretien - Remise en forme
44001;Abbaretz;247310;6902;Ski nautique classique / Course / à  figures libres / nupieds / Kneeboard / Wake-board;Compétition régionale
44001;Abbaretz;247310;2804;Plongée subaquatique (Plongée libre);Entrainement
44001;Abbaretz;287645;7901;Tennis;Loisir - Entretien - Remise en forme
44001;Abbaretz;287645;1101;Basket-Ball;Loisir - Entretien - Remise en forme
44001;Abbaretz;312133;2001;Course d'orientation - Vtt;Compétition départementale
44001;Abbaretz;312133;2002;Course d'orientation - Pédestre;Compétition départementale
44001;Abbaretz;312136;2204;Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial;Entrainement
44001;Abbaretz;312136;6201;Randonnée pédestre;Loisir - Entretien - Remise en forme
44001;Abbaretz;343672;6001;Pétanque et jeu provencal;Loisir - Entretien - Remise en forme
44001;Abbaretz;343679;8901;Activités de forme et de santé;Scolaire
44001;Abbaretz;343682;701;Badminton, Jeu de volant;Loisir - Entretien - Remise en forme
44001;Abbaretz;343682;3404;Expression gymnique;Loisir - Entretien - Remise en forme
44001;Abbaretz;343682;2402;Autres Danses;Loisir - Entretien - Remise en forme
44001;Abbaretz;343682;8901;Activités de forme et de santé;Scolaire
44001;Abbaretz;344268;6001;Pétanque et jeu provencal;Loisir - Entretien - Remise en forme
44001;Abbaretz;344269;5501;Pêche au coup en eau douce;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;68587;8001;Tennis de table;Compétition départementale
44002;Aigrefeuille-sur-Maine;68587;2501;Echecs;Compétition nationale
44002;Aigrefeuille-sur-Maine;68588;2901;Football / Football en salle (Futsal);Compétition départementale
44002;Aigrefeuille-sur-Maine;68589;7204;Boules traditionnelles;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;68590;7901;Tennis;Entrainement
44002;Aigrefeuille-sur-Maine;68591;2901;Football / Football en salle (Futsal);Compétition départementale
44002;Aigrefeuille-sur-Maine;68591;6401;Rugby à  15 / Rugby à  7;Scolaire
44002;Aigrefeuille-sur-Maine;129760;1101;Basket-Ball;Compétition départementale
44002;Aigrefeuille-sur-Maine;129760;3701;Handball / Mini hand / Handball de plage;Scolaire
44002;Aigrefeuille-sur-Maine;129760;8801;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;Compétition départementale
44002;Aigrefeuille-sur-Maine;129760;701;Badminton, Jeu de volant;Compétition départementale
44002;Aigrefeuille-sur-Maine;129760;7901;Tennis;Compétition départementale
44002;Aigrefeuille-sur-Maine;129785;4701;Lutte traditionnelle / olympique libre / olympique gréco-romaine /  bretonne / féminine;Compétition nationale
44002;Aigrefeuille-sur-Maine;129785;8901;Activités de forme et de santé;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;129794;3602;Musculation;Entrainement
44002;Aigrefeuille-sur-Maine;129794;3603;Culturisme;Entrainement
44002;Aigrefeuille-sur-Maine;129802;8901;Activités de forme et de santé;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;129802;3501;Gymnastique volontaire;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;129802;2402;Autres Danses;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;137089;2601;Equitation;Entrainement
44002;Aigrefeuille-sur-Maine;137089;2603;Dressage;Entrainement
44002;Aigrefeuille-sur-Maine;137089;2604;Saut d'obstacle;Entrainement
44002;Aigrefeuille-sur-Maine;137095;2601;Equitation;Entrainement
44002;Aigrefeuille-sur-Maine;137095;2603;Dressage;Entrainement
44002;Aigrefeuille-sur-Maine;137095;2604;Saut d'obstacle;Entrainement
44002;Aigrefeuille-sur-Maine;137095;2605;Attelage;Entrainement
44002;Aigrefeuille-sur-Maine;137095;2608;Randonnée équestre;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;203945;6201;Randonnée pédestre;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;203963;6201;Randonnée pédestre;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;217498;6201;Randonnée pédestre;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;217498;2204;Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;252824;5501;Pêche au coup en eau douce;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;252824;1701;Canoë de randonnée;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;275133;6303;Roller acrobatique;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;275133;6306;Planche à  roulettes (Skate);Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;275133;2202;Bicross (BMX);Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;284240;8901;Activités de forme et de santé;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;284246;2901;Football / Football en salle (Futsal);Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;284250;5501;Pêche au coup en eau douce;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;288494;1701;Canoë de randonnée;Loisir - Entretien - Remise en forme
44002;Aigrefeuille-sur-Maine;318126;2501;Echecs;Entrainement
44002;Aigrefeuille-sur-Maine;318127;2501;Echecs;Entrainement
44002;Aigrefeuille-sur-Maine;318128;2501;Echecs;Entrainement
44002;Aigrefeuille-sur-Maine;318136;2901;Football / Football en salle (Futsal);Entrainement
44002;Aigrefeuille-sur-Maine;318142;8901;Activités de forme et de santé;Scolaire
44003;Ancenis;66624;3501;Gymnastique volontaire;Loisir - Entretien - Remise en forme
44003;Ancenis;66624;3408;Gymnastique Acrobatique;Scolaire
44003;Ancenis;66624;3402;Gymnastique Rythmique;Compétition régionale
44003;Ancenis;66625;2901;Football / Football en salle (Futsal);Compétition départementale
44003;Ancenis;66625;6001;Pétanque et jeu provencal;Compétition départementale
44003;Ancenis;66626;7901;Tennis;Entrainement
44003;Ancenis;66626;1101;Basket-Ball;Entrainement
44003;Ancenis;66626;6304;Hockey sur patins en ligne / Hockey sur patins;Compétition régionale
44003;Ancenis;66626;8801;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;Loisir - Entretien - Remise en forme
44003;Ancenis;66626;701;Badminton, Jeu de volant;Compétition régionale
44003;Ancenis;66626;3701;Handball / Mini hand / Handball de plage;Scolaire
44003;Ancenis;66628;1101;Basket-Ball;Compétition régionale
44003;Ancenis;66628;3701;Handball / Mini hand / Handball de plage;Compétition régionale
44003;Ancenis;66628;8801;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;Loisir - Entretien - Remise en forme
44003;Ancenis;66628;701;Badminton, Jeu de volant;Compétition départementale
44003;Ancenis;66628;8201;Tir à  l'arc;Compétition départementale
44003;Ancenis;66630;6401;Rugby à  15 / Rugby à  7;Compétition régionale
44003;Ancenis;66648;5208;Aquagym;Loisir - Entretien - Remise en forme
44003;Ancenis;66648;5206;Baignade loisirs;Loisir - Entretien - Remise en forme
44003;Ancenis;66649;5201;Natation course sportive;Entrainement
44003;Ancenis;66649;5206;Baignade loisirs;Loisir - Entretien - Remise en forme
44003;Ancenis;66649;2804;Plongée subaquatique (Plongée libre);Entrainement
44003;Ancenis;66649;5202;Natation synchronisée;Compétition régionale
